239,379,521,300,743,1001,462,1080
784,407,1124,314,1301,1000,961,1093
549,495,835,448,889,825,603,872
441,461,473,442,720,961,687,979
496,287,516,270,1018,957,998,973
551,303,576,309,442,947,418,941
777,404,799,403,839,1054,817,1056
613,258,634,258,612,1092,591,1091
564,487,581,497,298,1030,281,1020
617,187,635,176,1102,1074,1083,1085
399,396,425,374,783,825,758,847
445,270,457,269,536,1161,523,1163
811,519,844,529,711,1046,679,1036
605,387,628,377,844,1018,821,1027
522,404,540,398,671,864,653,870
359,412,376,403,628,970,611,979
1062,349,1102,370,755,1143,715,1122
654,302,668,296,995,1113,980,1119
488,253,505,238,1117,1024,1100,1039
745,445,760,449,601,1077,586,1073
724,148,744,143,913,954,893,958
435,203,449,200,535,738,520,741
